TICKER,COMPANY,SECTOR,YEAR,TOBIN_Q_RATIO,ESG_SCORE,E_ENVIRONMENTAL_SCORE,E_SUSTAINABLE_PRODUCT_ISSUE_SCORE,E_ENVIRON_AIR_QUALITY_ISSUE_SCORE,E_CLIMATE_EXPOS_ISSUE_SCORE,E_ECOLOGICAL_IMPACT_ISSUE_SCORE,E_ENERGY_MANAGEMENT_ISSUE_SCORE,E_GHG_EMISSIONS_MNGT_ISSUE_SCORE,E_WATER_MANAGEMENT_ISSUE_SCORE,E_WASTE_MANAGEMENT_ISSUE_SCORE,S_SOCIAL_SCORE,S_SOCIAL_SPPL_CHN_MGMT_ISSUE_SCORE,S_LABOR_EMPLYMNT_PRACT_ISSUE_SCORE,S_PRODUCT_QUALITY_MNGT_ISSUE_SCORE,S_DATA_SEC_CSTMR_PRIVCY_ISSUE_SCR,S_COMM_RIGHTS_RELATION_ISSUE_SCORE,G_GOVERNANCE_SCORE,G_BOARD_COMPOSITION_SCORE,G_EXECUTIVE_COMPENSATION_SCORE,G_SHAREHOLDER_RIGHTS_THEME_SCR,G_AUDIT_THEME_SCORE,FUND_CRNCY_ADJ_MKT_CAP,FUND_TOT_DEBT_TO_TOT_EQY,FUND_BS_TOT_ASSET,FUND_NET_DEBT_EBITDA_ADJUSTED,FUND_RETURN_ON_ASSET,FUND_RETURN_COM_EQY,MACRO_INFLATION,MACRO_UNEMPLOYMENT,MACRO_GDP_GROWTH,MACRO_PMI
ADMR IJ Equity,ADARO MINERALS INDONESIA TBK,Materials,2023,2.554737873176221,2.5,1.9057753086090088,,1.9057753086090088,0.0,,1.1721630096435547,3.0,0.0,2.062497615814209,2.2931554317474365,,0.0,,,0.19915100932121277,3.862990379333496,4.036564350128174,1.5469664335250854,6.33203649520874,4.248311519622803,2620.3423315224027,40.82205670416227,1695.419616,-0.26699000036899767,29.578493127590544,58.38120968747196,2.61,5.32,5.048,52.2
ADRO IJ Equity,ALAMTRI RESOURCES INDONESIA,Energy,2023,0.8092535129874413,5.090000152587891,5.722153186798096,,5.751782417297363,6.826173782348633,,3.7731940746307373,7.247250556945801,5.182725429534912,2.777340888977051,6.017587661743164,,9.575276374816895,,,3.0,3.3155078887939453,2.7504003047943115,1.3315322399139404,5.746394157409668,5.0192461013793945,4524.989916921011,19.42643495866374,10472.711,-0.760826076478618,15.44517158254112,25.65293644016408,2.61,5.32,5.048,52.2
AMMN IJ Equity,AMMAN MINERAL INTERNASIONAL,Materials,2023,3.8921293463934576,5.920000076293945,4.350478172302246,,4.350478172302246,0.0,,6.42380952835083,1.5934044122695923,4.764535903930664,3.8452396392822266,9.649304389953613,,10.0,,,9.71699047088623,3.894767999649048,4.033714294433594,2.4511585235595703,5.746394157409668,3.369386911392212,36298.94913802954,69.36342975852892,9097.053,1.5327412723630818,3.233441985040791,6.242178523869751,2.61,5.32,5.048,52.2
ASII IJ Equity,ASTRA INTERNATIONAL TBK PT,Industrials,2023,1.0675196166770256,3.8299999237060547,4.049088478088379,3.0,4.049088478088379,,,4.963265895843506,,,3.9299402236938477,2.965787172317505,,,3.0,9.814241409301758,,4.889427661895752,5.0367231369018555,2.5623581409454346,6.33203649520874,6.745621681213379,12059.56167276279,37.26169844020797,28955.236486486487,0.8085223084965976,7.878916291025593,17.318607305351833,2.61,5.32,5.048,52.2
BBCA IJ Equity,BANK CENTRAL ASIA TBK PT,Financials,2023,1.6508235577919608,4.789999961853027,0.9995604157447815,,0.9995604157447815,,,,,,,8.332627296447754,,7.218792915344238,,9.814241409301758,,4.358414173126221,3.112028121948242,3.573153018951416,5.200429916381836,7.885790824890137,73369.04758271274,5.5653496157191595,91483.04378898129,,3.5726774623714728,20.993422815413755,2.61,5.32,5.048,52.2
BNGA IJ Equity,BANK CIMB NIAGA TBK PT,Financials,2023,0.9797346198353573,4.840000152587891,2.5780746936798096,,2.5780746936798096,,,,,,,5.934576034545898,,7.0937180519104,,9.814241409301758,,5.669493198394775,6.509282112121582,3.182654857635498,6.33203649520874,7.391979217529297,2658.9471140275914,62.870084828800465,21723.57283004158,,2.0196404208728995,13.71877697544915,2.61,5.32,5.048,52.2
BMRI IJ Equity,BANK MANDIRI PERSERO TBK PT,Financials,2023,1.1397346908990302,,,,,,,,,,,,,,,,,,,,,,33471.696577066294,70.25111208731373,141256.46108367984,,2.6428209134417875,22.44913900240916,2.61,5.32,5.048,52.2
MEGA IJ Equity,BANK MEGA TBK PT,Financials,2023,1.2887041593449542,2.1700000762939453,0.8679654598236084,,0.8679654598236084,,,,,,,1.750079870223999,,6.431351661682129,,1.0,,4.769469738006592,5.449949264526367,3.3760321140289307,6.33203649520874,3.369386911392212,2737.7809336039554,89.28821169028826,8579.105444386694,,2.564404300306165,16.56401336729708,2.61,5.32,5.048,52.2
BBNI IJ Equity,BANK NEGARA INDONESIA PERSER,Financials,2023,1.0461267490124817,4.320000171661377,1.5103533267974854,,1.5103533267974854,,,,,,,6.0065016746521,,5.620310306549072,,9.062071800231934,,5.05842399597168,5.51930570602417,3.083773374557495,,7.850731372833252,10245.263589427419,47.077518029177064,70599.27143970894,,1.9758533014983606,14.624735224720824,2.61,5.32,5.048,52.2
PNBN IJ Equity,BANK PAN INDONESIA TBK PT,Financials,2023,0.9073638993260892,2.450000047683716,2.310526132583618,,2.310526132583618,,,,,,,1.0473099946975708,,1.0620914697647095,,1.0,,5.773308277130127,5.732621192932129,2.384737491607666,9.0903959274292,7.596480846405029,2676.078361616408,54.051297740107216,14423.72985966736,,1.1655850042706857,5.214718985840915,2.61,5.32,5.048,52.2
